,Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
28038,28039,0.41,Ideal,G,SI2,62.1,53.6,659,4.75,4.79,2.96
4685,4686,1.01,Premium,E,SI2,62.3,55.0,3674,6.35,6.29,3.94
36286,36287,0.34,Very Good,E,SI2,61.7,61.0,477,4.47,4.51,2.77
17423,17424,1.52,Good,J,VS2,63.1,61.0,6982,7.19,7.23,4.55
35682,35683,0.32,Premium,D,VVS1,62.0,60.0,910,4.37,4.4,2.72
13421,13422,1.0,Very Good,G,SI1,62.3,62.0,5511,6.34,6.38,3.96
17114,17115,1.01,Ideal,G,VS2,60.6,57.0,6826,6.47,6.53,3.94
4901,4902,0.72,Ideal,D,SI1,61.2,56.0,3722,5.77,5.79,3.54
30482,30483,0.31,Premium,D,SI1,60.0,61.0,732,4.43,4.41,2.65
38744,38745,0.35,Very Good,G,IF,59.1,59.0,1044,4.59,4.62,2.72
18453,18454,1.0,Very Good,G,VVS1,62.3,56.0,7507,6.29,6.4,3.95
32093,32094,0.33,Ideal,D,VS2,60.7,57.0,781,4.46,4.5,2.72
12613,12614,1.14,Premium,I,VS1,62.3,59.0,5291,6.69,6.64,4.15
38552,38553,0.55,Good,J,VS2,64.1,54.0,1034,5.18,5.21,3.33
31721,31722,0.4,Very Good,J,VVS1,61.2,55.0,772,4.75,4.8,2.92
3181,3182,0.92,Good,F,SI2,64.2,58.0,3340,6.11,6.14,3.93
15241,15242,1.07,Very Good,E,VS2,62.5,57.0,6120,6.53,6.6,4.1
33909,33910,0.3,Premium,E,VS2,61.8,58.0,844,4.28,4.26,2.64
14993,14994,1.0,Very Good,D,SI1,61.4,63.0,6040,6.35,6.41,3.92
35722,35723,0.3,Ideal,D,VS2,61.8,55.0,911,4.34,4.3,2.67
37792,37793,0.38,Ideal,E,VS1,62.1,56.0,1000,4.62,4.65,2.88
28818,28819,0.31,Ideal,D,VS1,61.8,55.0,683,4.34,4.36,2.69
45044,45045,0.53,Ideal,F,SI1,61.9,55.0,1639,5.19,5.21,3.22
36854,36855,0.33,Ideal,D,VS1,60.9,57.0,957,4.5,4.47,2.73
21887,21888,1.87,Ideal,J,SI1,62.3,57.0,9955,7.82,7.88,4.89
12577,12578,1.2,Premium,H,SI2,62.5,58.0,5280,6.76,6.81,4.24
39382,39383,0.4,Ideal,E,SI1,62.2,54.0,1074,4.76,4.72,2.95
1595,1596,0.73,Very Good,G,VS1,60.7,55.0,3011,5.87,5.89,3.57
6117,6118,1.08,Fair,J,VS2,65.1,54.0,3980,6.47,6.44,4.2
20560,20561,1.08,Ideal,G,IF,61.3,57.0,8873,6.59,6.62,4.05
26222,26223,2.01,Fair,D,SI2,59.4,66.0,15627,8.2,8.17,4.86
38227,38228,0.4,Ideal,H,VVS1,62.0,54.0,1017,4.72,4.76,2.94
14913,14914,2.03,Fair,H,I1,66.6,57.0,6002,7.81,7.75,5.19
4515,4516,1.0,Premium,D,SI2,62.0,60.0,3634,6.38,6.3,3.93
2784,2785,0.9,Very Good,G,SI2,62.2,60.0,3256,6.09,6.2,3.82
3764,3765,0.9,Very Good,F,SI2,63.1,58.0,3457,6.13,6.11,3.86
4794,4795,1.5,Good,I,I1,63.7,61.0,3696,7.22,7.1,4.57
8269,8270,0.9,Very Good,D,SI1,61.5,58.0,4381,6.15,6.21,3.8
22564,22565,1.5,Good,G,SI1,63.7,59.0,10618,7.23,7.19,4.59
11508,11509,1.01,Ideal,H,SI1,60.4,58.0,5020,6.5,6.54,3.94
7067,7068,0.33,Premium,G,VS2,62.6,58.0,579,4.41,4.44,2.77
38983,38984,0.39,Premium,I,VVS1,61.5,59.0,1053,4.7,4.67,2.88
21179,21180,1.51,Ideal,J,VVS2,61.4,59.0,9334,7.34,7.39,4.52
51645,51646,0.31,Ideal,I,VVS2,61.6,57.0,544,4.35,4.39,2.69
15190,15191,1.29,Very Good,I,VS2,61.3,58.0,6099,6.98,7.04,4.3
19024,19025,0.27,Ideal,F,VVS1,61.0,57.0,620,4.2,4.22,2.57
26620,26621,2.01,Very Good,I,VS2,59.6,58.0,16383,8.18,8.23,4.89
15224,15225,1.04,Ideal,D,SI1,61.9,57.0,6112,6.51,6.54,4.04
10247,10248,1.01,Good,H,SI1,63.1,59.0,4749,6.32,6.36,4.0
20158,20159,1.21,Premium,G,VS1,62.7,58.0,8616,6.76,6.85,4.27
20352,20353,1.55,Premium,J,VS1,62.6,59.0,8749,7.4,7.35,4.62
4305,4306,0.9,Very Good,G,SI2,62.6,60.0,3593,6.1,6.16,3.84
20062,20063,0.31,Premium,F,VS2,60.8,60.0,625,4.34,4.37,2.65
39260,39261,0.3,Ideal,D,VVS1,61.1,57.0,1069,4.36,4.34,2.66
24796,24797,1.62,Premium,F,SI1,62.6,58.0,13177,7.48,7.53,4.7
46668,46669,0.71,Good,I,SI1,62.6,63.0,1788,5.54,5.61,3.49
37801,37802,0.51,Ideal,I,SI1,61.7,54.0,1000,5.18,5.19,3.2
25356,25357,0.28,Very Good,E,VVS2,60.0,56.0,642,4.26,4.28,2.56
28193,28194,0.4,Ideal,H,SI1,62.0,56.0,666,4.68,4.74,2.92
46736,46737,0.52,Ideal,H,IF,61.8,55.0,1798,5.17,5.19,3.2
15339,15340,1.01,Very Good,F,VS2,62.0,59.0,6159,6.38,6.42,3.97
2106,2107,0.9,Good,F,SI2,63.2,59.0,3116,6.06,6.13,3.85
38229,38230,0.4,Ideal,H,VVS1,62.2,55.0,1017,4.7,4.75,2.94
11958,11959,1.21,Very Good,J,VS2,62.2,59.0,5136,6.79,6.84,4.24
40266,40267,0.33,Ideal,G,SI1,61.3,56.0,492,4.46,4.51,2.75
34675,34676,0.41,Good,D,VS2,63.4,54.0,873,4.74,4.79,3.02
50774,50775,0.51,Ideal,E,VVS2,62.5,57.0,2301,5.06,5.12,3.18
49445,49446,0.7,Ideal,I,SI1,61.9,58.0,2110,5.66,5.68,3.51
36439,36440,0.31,Ideal,D,VS2,62.1,54.0,942,4.41,4.35,2.72
51561,51562,0.7,Very Good,H,VS1,62.8,58.0,2389,5.59,5.69,3.54
22480,22481,1.19,Ideal,G,VVS1,61.6,59.0,10508,6.78,6.79,4.18
46278,46279,0.55,Very Good,D,VS2,60.4,59.0,1755,5.29,5.34,3.21
17825,17826,1.5,Fair,H,SI2,65.5,53.0,7187,7.14,7.11,4.67
16310,16311,1.04,Ideal,G,VS2,60.8,57.0,6529,6.55,6.57,3.99
25310,25311,2.02,Premium,I,SI2,61.1,61.0,13991,8.11,8.08,4.95
41218,41219,0.43,Premium,G,VVS1,62.0,59.0,1207,4.8,4.82,2.98
12168,12169,1.18,Premium,E,SI2,62.5,60.0,5181,6.74,6.7,4.2
18760,18761,1.05,Very Good,G,VVS2,59.8,60.0,7667,6.54,6.61,3.93
52663,52664,0.71,Premium,I,VVS1,62.0,58.0,2549,5.65,5.7,3.52
51004,51005,0.76,Good,I,SI1,64.3,60.0,2326,5.69,5.64,3.64
52330,52331,0.73,Premium,I,VVS2,61.5,58.0,2496,5.73,5.78,3.54
33192,33193,0.3,Premium,G,VVS2,60.4,60.0,819,4.34,4.3,2.61
47049,47050,0.54,Ideal,F,VS2,61.1,57.0,1820,5.3,5.27,3.23
16375,16376,0.28,Ideal,D,VVS1,61.7,57.0,608,4.2,4.23,2.6
19688,19689,0.3,Ideal,G,VS1,63.1,55.0,624,4.25,4.31,2.7
14361,14362,1.01,Very Good,D,SI1,61.6,59.0,5815,6.42,6.47,3.97
51970,51971,0.29,Good,F,SI1,57.4,61.0,545,4.39,4.42,2.53
34211,34212,0.33,Ideal,D,VS2,62.3,54.0,855,4.46,4.43,2.77
51847,51848,0.7,Premium,F,SI1,62.2,59.0,2423,5.73,5.69,3.55
43042,43043,0.5,Very Good,E,SI1,63.3,57.0,1374,5.01,4.94,3.15
36278,36279,0.34,Very Good,E,SI2,62.9,56.0,477,4.45,4.48,2.81
16243,16244,1.01,Good,G,VS1,63.2,58.0,6499,6.34,6.38,4.02
34266,34267,0.31,Premium,J,SI1,62.7,59.0,465,4.32,4.29,2.7
29191,29192,0.4,Ideal,F,SI1,62.0,54.0,694,4.76,4.79,2.96
4430,4431,0.9,Very Good,G,SI1,63.8,53.0,3615,6.1,6.16,3.91
5901,5902,0.92,Premium,I,VVS1,62.4,59.0,3932,6.17,6.14,3.84
37359,37360,0.4,Premium,G,VVS2,59.7,58.0,982,4.78,4.8,2.86
20454,20455,1.1,Premium,D,VS2,58.2,57.0,8796,6.81,6.77,3.95
36539,36540,0.4,Premium,F,SI1,62.3,60.0,945,4.74,4.7,2.94
17454,17455,1.01,Good,D,VS2,63.1,60.0,6999,6.35,6.39,4.02
4234,4235,0.9,Good,G,SI1,63.9,60.0,3574,6.07,6.1,3.89
30760,30761,0.25,Premium,E,VVS2,62.5,59.0,740,4.05,4.02,2.52
32554,32555,0.32,Ideal,F,VVS2,62.1,55.0,800,4.37,4.39,2.72
52235,52236,0.57,Very Good,E,VVS2,60.0,61.0,2485,5.36,5.44,3.24
44074,44075,0.56,Premium,E,VS2,61.1,59.0,1552,5.27,5.34,3.24
22815,22816,1.28,Ideal,G,VVS2,61.2,54.0,10839,7.03,7.06,4.31
51575,51576,0.77,Premium,G,SI2,61.9,59.0,2391,5.88,5.84,3.63
48347,48348,0.7,Ideal,I,SI2,61.3,57.0,1961,5.7,5.73,3.5
39643,39644,0.3,Premium,F,IF,61.6,58.0,1085,4.34,4.3,2.66
49824,49825,0.7,Fair,F,SI1,65.9,59.0,2167,5.53,5.49,3.63
3631,3632,0.71,Ideal,G,VS1,61.7,57.0,3431,5.7,5.75,3.53
1297,1298,0.75,Good,F,VS1,64.4,59.0,2953,5.67,5.72,3.66
43039,43040,0.33,Ideal,E,VVS1,61.9,57.0,1374,4.46,4.43,2.75
25544,25545,1.5,Premium,F,VS2,61.3,61.0,14372,7.36,7.33,4.5
1997,1998,1.29,Good,I,I1,64.2,54.0,3098,6.93,6.83,4.42
26202,26203,1.5,Fair,E,VS1,65.4,57.0,15584,7.14,7.07,4.65
21115,21116,1.04,Ideal,F,VVS2,62.2,56.0,9281,6.53,6.46,4.04
21539,21540,1.2,Ideal,F,VS1,62.0,55.0,9641,6.81,6.83,4.23
7092,7093,1.01,Premium,I,SI1,61.8,59.0,4166,6.37,6.44,3.96
2039,2040,0.7,Good,D,VS1,60.4,63.0,3107,5.73,5.76,3.47
46259,46260,0.57,Ideal,F,VS2,61.7,57.0,1754,5.33,5.36,3.3
36356,36357,0.34,Very Good,F,VVS1,61.0,56.0,939,4.52,4.53,2.76
29844,29845,0.3,Premium,D,VS2,60.4,59.0,710,4.33,4.35,2.62
32545,32546,0.27,Ideal,D,VVS2,62.6,56.0,799,4.15,4.13,2.59
15081,15082,1.11,Very Good,H,VS1,63.2,57.0,6061,6.61,6.53,4.15
9540,9541,1.13,Premium,H,SI2,61.1,59.0,4619,6.73,6.65,4.09
2184,2185,1.0,Premium,G,SI2,62.5,59.0,3136,6.41,6.33,3.98
50384,50385,0.52,Ideal,F,VVS1,59.8,59.0,2251,5.21,5.25,3.13
34034,34035,0.3,Very Good,G,IF,62.3,55.0,850,4.31,4.33,2.69
35455,35456,0.32,Premium,E,VS2,61.3,59.0,900,4.39,4.35,2.68
32369,32370,0.3,Ideal,F,VVS1,62.4,57.0,790,4.25,4.28,2.66
19822,19823,1.51,Premium,H,SI2,62.4,58.0,8388,7.36,7.31,4.58
8018,8019,1.01,Premium,E,SI1,61.7,56.0,4330,6.44,6.39,3.96
52393,52394,0.82,Fair,F,SI2,56.7,70.0,2508,6.28,6.16,3.53
32580,32581,0.32,Good,E,VVS1,59.4,61.0,801,4.45,4.48,2.65
11191,11192,1.18,Premium,I,SI1,61.1,59.0,4956,6.78,6.73,4.13
52286,52287,0.71,Very Good,G,VS1,63.3,56.0,2494,5.67,5.64,3.58
32333,32334,0.36,Very Good,E,VS2,60.3,62.0,789,4.56,4.59,2.76
28918,28919,0.3,Very Good,H,VVS1,63.0,58.0,684,4.22,4.25,2.67
47596,47597,0.79,Premium,G,SI2,60.8,58.0,1877,6.0,5.98,3.61
21846,21847,1.26,Ideal,G,VS1,61.9,55.0,9907,6.96,6.91,4.29
4572,4573,0.76,Ideal,G,VS1,61.3,54.0,3648,5.88,5.94,3.62
38259,38260,0.3,Ideal,G,SI2,62.5,56.0,382,4.28,4.3,2.68
12101,12102,1.09,Very Good,E,SI2,62.2,58.0,5165,6.54,6.61,4.09
6516,6517,1.1,Good,E,SI2,63.3,56.0,4065,6.53,6.58,4.15
16924,16925,1.51,Premium,I,SI1,62.2,61.0,6756,7.35,7.27,4.55
29068,29069,0.4,Very Good,E,SI1,61.7,60.0,687,4.68,4.72,2.9
24155,24156,2.02,Ideal,H,SI1,62.3,56.0,12332,8.11,8.06,5.04
30068,30069,0.32,Ideal,G,VS2,60.3,57.0,720,4.46,4.43,2.68
53439,53440,0.73,Good,H,VS1,64.1,58.8,2673,5.63,5.67,3.62
20032,20033,0.3,Very Good,H,SI1,59.5,62.0,421,4.32,4.35,2.58
19014,19015,1.57,Very Good,J,VS2,62.6,59.0,7832,7.39,7.43,4.64
1500,1501,0.87,Very Good,H,SI2,61.0,56.0,2993,6.15,6.19,3.77
38488,38489,0.42,Ideal,G,VVS2,62.6,55.0,1031,4.77,4.78,2.99
20089,20090,1.52,Premium,H,SI1,61.2,58.0,8566,7.53,7.43,4.57
6996,6997,1.0,Good,F,SI2,63.8,58.0,4155,6.33,6.28,4.02
21379,21380,0.34,Ideal,D,SI1,60.4,57.0,626,4.51,4.53,2.73
13821,13822,1.01,Premium,G,VS1,59.3,59.0,5632,6.49,6.52,3.86
14407,14408,1.14,Very Good,F,SI1,61.0,60.0,5819,6.67,6.74,4.09
25343,25344,2.0,Very Good,I,SI1,63.6,57.0,14057,7.9,7.99,5.05
14476,14477,1.09,Very Good,H,VS1,60.2,61.0,5845,6.66,6.7,4.02
46007,46008,0.57,Very Good,H,VVS2,62.2,56.0,1726,5.32,5.35,3.31
12042,12043,0.4,Good,I,SI1,63.2,54.0,596,4.67,4.69,2.96
48452,48453,0.55,Ideal,E,VS1,61.1,55.0,1975,5.3,5.33,3.25
3114,3115,0.91,Good,H,SI1,63.8,56.0,3323,6.09,6.04,3.87
26753,26754,1.5,Premium,E,VS1,60.3,60.0,16558,7.43,7.34,4.45
9698,9699,0.32,Ideal,I,VVS1,62.4,55.0,589,4.34,4.38,2.72
33053,33054,0.3,Ideal,F,VVS1,61.5,58.0,814,4.3,4.32,2.65
5945,5946,1.02,Very Good,E,SI2,63.6,59.0,3947,6.23,6.28,3.98
9327,9328,1.0,Very Good,E,SI2,63.3,58.0,4579,6.35,6.32,4.01
38162,38163,0.34,Ideal,E,VVS1,62.1,57.0,1014,4.46,4.5,2.78
27192,27193,1.7,Premium,G,VS1,61.2,57.0,17492,7.73,7.64,4.7
36341,36342,0.32,Ideal,G,VVS2,62.4,54.0,936,4.38,4.37,2.73
46401,46402,0.51,Ideal,H,VVS1,62.2,56.0,1766,5.12,5.14,3.19
24811,24812,2.01,Premium,H,SI2,61.9,57.0,13199,8.13,7.96,4.98
26341,26342,0.32,Ideal,G,VS1,62.1,55.0,645,4.4,4.42,2.74
18836,18837,1.53,Ideal,J,SI1,62.2,58.0,7721,7.35,7.37,4.58
31767,31768,0.32,Ideal,G,VS1,60.7,56.0,773,4.46,4.43,2.7
43938,43939,0.3,Good,D,SI1,63.4,54.0,515,4.27,4.31,2.72
10005,10006,1.01,Premium,E,VS2,60.8,58.0,4706,6.43,6.4,3.9
4089,4090,0.9,Very Good,D,SI2,63.0,58.0,3534,6.12,6.16,3.87
39072,39073,0.55,Ideal,J,SI1,62.5,57.0,1059,5.24,5.22,3.27
41991,41992,0.43,Premium,G,VVS1,62.2,58.0,1264,4.83,4.78,2.99
36160,36161,0.38,Ideal,G,VVS2,61.5,55.2,929,4.67,4.71,2.89
37146,37147,0.32,Ideal,E,VS1,61.7,56.0,972,4.42,4.39,2.72
24213,24214,2.05,Very Good,H,SI2,63.1,58.0,12401,8.05,8.0,5.07
8964,8965,1.03,Premium,F,SI2,60.7,60.0,4503,6.47,6.52,3.94
50063,50064,0.8,Premium,J,VS1,61.6,60.0,2202,5.94,5.88,3.64
6503,6504,0.9,Premium,H,VS1,61.8,56.0,4064,6.18,6.16,3.81
28855,28856,0.41,Premium,E,SI2,62.1,58.0,683,4.73,4.77,2.95
33465,33466,0.32,Premium,F,VS2,60.7,58.0,828,4.45,4.41,2.69
20213,20214,1.01,Good,F,VVS2,60.3,62.0,8647,6.47,6.54,3.92
1170,1171,0.7,Very Good,F,VS2,61.3,54.0,2928,5.72,5.76,3.52
10878,10879,0.93,Very Good,G,VS1,62.1,59.0,4879,6.16,6.21,3.84
26581,26582,2.09,Good,I,SI1,57.9,63.0,16294,8.37,8.46,4.87
19835,19836,1.25,Ideal,E,VS2,62.6,56.0,8400,6.89,6.84,4.3
12795,12796,0.9,Ideal,E,VS1,61.3,57.0,5335,6.2,6.24,3.81
50133,50134,0.7,Good,F,VS2,63.5,56.0,2212,5.64,5.45,3.52
16362,16363,0.33,Ideal,D,SI1,62.5,54.0,608,4.43,4.44,2.77
41211,41212,0.53,Premium,G,SI1,62.1,62.0,1206,5.15,5.13,3.19
36208,36209,0.36,Ideal,H,VVS2,62.3,57.0,932,4.57,4.52,2.83
53333,53334,0.81,Very Good,I,VS1,63.2,59.0,2655,5.9,5.84,3.71
8210,8211,0.9,Good,F,VS2,62.4,58.0,4370,6.08,6.1,3.8
21963,21964,1.24,Premium,F,VS1,62.5,58.0,10033,6.87,6.83,4.28
11554,11555,1.14,Very Good,F,SI2,59.2,63.0,5033,6.78,6.86,4.04
287,288,0.81,Very Good,E,SI1,60.3,60.0,2797,6.07,6.1,3.67
10602,10603,0.98,Very Good,H,VS2,59.9,60.0,4826,6.45,6.38,3.84
43435,43436,0.5,Ideal,D,SI1,61.4,58.0,1415,5.07,5.1,3.12
15597,15598,1.24,Premium,I,VS2,60.2,58.0,6257,6.98,6.93,4.19
26834,26835,2.01,Good,E,SI2,60.0,64.0,16733,8.17,8.09,4.88
14687,14688,1.25,Premium,I,VS2,62.2,57.0,5925,6.92,6.84,4.28
23322,23323,1.58,Ideal,H,VS2,62.7,56.0,11365,7.44,7.39,4.65
17853,17854,1.16,Ideal,G,VS2,62.3,57.0,7203,6.72,6.66,4.17
40895,40896,0.44,Ideal,H,IF,61.9,54.0,1177,4.9,4.95,3.05
17552,17553,1.19,Good,E,VS2,57.4,60.0,7064,7.0,6.9,3.99
49000,49001,0.73,Fair,G,SI2,64.7,60.0,2050,5.68,5.64,3.66
16034,16035,0.3,Premium,I,VS1,61.7,59.0,608,4.3,4.26,2.64
5404,5405,0.95,Premium,I,VS2,62.9,57.0,3818,6.24,6.19,3.91
5648,5649,1.0,Good,E,SI2,63.3,56.0,3880,6.3,6.36,4.01
48849,48850,0.73,Fair,G,SI1,65.5,56.0,2032,5.68,5.62,3.7
34973,34974,0.23,Very Good,D,VVS1,60.5,55.0,472,4.01,4.02,2.43
52943,52944,0.7,Very Good,F,VS2,63.3,56.0,2593,5.62,5.66,3.57
30374,30375,0.3,Fair,F,VS2,56.3,64.0,729,4.44,4.39,2.5
38507,38508,0.5,Fair,F,SI2,65.5,54.0,1031,5.06,4.92,3.25
44911,44912,0.53,Very Good,F,VS2,61.9,58.0,1631,5.17,5.2,3.21
36060,36061,0.31,Ideal,G,IF,61.0,56.0,924,4.37,4.38,2.67
23213,23214,1.61,Ideal,E,SI2,61.3,59.0,11220,7.47,7.57,4.61
20907,20908,1.79,Good,G,SI2,57.8,59.0,9122,8.07,7.94,4.63
41759,41760,0.43,Very Good,E,VVS2,60.8,57.0,1245,4.89,4.92,2.98
35407,35408,0.32,Ideal,E,VS2,61.9,55.0,900,4.43,4.42,2.74
